23:05:01 | Preparing environment
23:05:01 | Creating base layer
23:05:01 | Using existing image static-advanced-node-12-ng22:latest
23:05:01 | Building keys layer
23:05:01 | DEBUG | 2025/09/01 23:05:01 in: []string{}
23:05:01 | DEBUG | 2025/09/01 23:05:01 Parsed entitlements: []
23:05:01 | DEBUG | #0 building with "default" instance using docker driver
23:05:01 | DEBUG | 
23:05:01 | DEBUG | #1 [internal] load build definition from Dockerfile
23:05:01 | DEBUG | #1 transferring dockerfile: 182B done
23:05:01 | DEBUG | #1 DONE 0.0s
23:05:01 | DEBUG | 
23:05:01 | DEBUG | #2 [internal] load metadata for docker.io/library/static-advanced-node-12-ng22:latest
23:05:01 | DEBUG | #2 DONE 0.0s
23:05:01 | DEBUG | 
23:05:01 | DEBUG | #3 [internal] load .dockerignore
23:05:01 | DEBUG | #3 transferring context: 2B done
23:05:01 | DEBUG | #3 DONE 0.0s
23:05:01 | DEBUG | 
23:05:01 | DEBUG | #4 [1/4] FROM docker.io/library/static-advanced-node-12-ng22:latest
23:05:01 | DEBUG | #4 DONE 0.0s
23:05:01 | DEBUG | 
23:05:01 | DEBUG | #5 [2/4] WORKDIR /opt/build
23:05:01 | DEBUG | #5 CACHED
23:05:01 | DEBUG | 
23:05:01 | DEBUG | #6 [3/4] RUN mkdir -p /root/.ssh
23:05:01 | DEBUG | #6 DONE 0.4s
23:05:02 | DEBUG | 
23:05:02 | DEBUG | #7 [4/4] RUN ssh-keyscan -t rsa github.com > /root/.ssh/known_hosts
23:05:05 | DEBUG | #7 3.679 # github.com:22 SSH-2.0-88f9acd9
23:05:06 | DEBUG | #7 DONE 4.1s
23:05:06 | DEBUG | 
23:05:06 | DEBUG | #8 exporting to image
23:05:06 | DEBUG | #8 exporting layers 0.0s done
23:05:06 | DEBUG | #8 writing image sha256:43fd20abdbcd93635ade8623697fcfb528ea4720919606e78ad9340851704a39 done
23:05:06 | DEBUG | #8 naming to docker.io/library/final-image-8cd7b883-fb53-4657-ba89-6a7687a7c718-keys done
23:05:06 | DEBUG | #8 DONE 0.1s
23:05:06 | Layer final-image-8cd7b883-fb53-4657-ba89-6a7687a7c718-keys built successfully
23:05:06 | Cloning code
23:05:06 | Building code layer
23:05:06 | DEBUG | 2025/09/01 23:05:06 in: []string{}
23:05:06 | DEBUG | 2025/09/01 23:05:06 Parsed entitlements: []
23:05:06 | DEBUG | #0 building with "default" instance using docker driver
23:05:06 | DEBUG | 
23:05:06 | DEBUG | #1 [internal] load build definition from Dockerfile
23:05:06 | DEBUG | #1 transferring dockerfile: 342B done
23:05:06 | DEBUG | #1 DONE 0.0s
23:05:06 | DEBUG | 
23:05:06 | DEBUG | #2 [internal] load metadata for docker.io/library/final-image-8cd7b883-fb53-4657-ba89-6a7687a7c718-keys:latest
23:05:06 | DEBUG | #2 DONE 0.0s
23:05:06 | DEBUG | 
23:05:06 | DEBUG | #3 [internal] load .dockerignore
23:05:06 | DEBUG | #3 transferring context: 2B done
23:05:06 | DEBUG | #3 DONE 0.0s
23:05:06 | DEBUG | 
23:05:06 | DEBUG | #4 [1/6] FROM docker.io/library/final-image-8cd7b883-fb53-4657-ba89-6a7687a7c718-keys:latest
23:05:06 | DEBUG | #4 DONE 0.0s
23:05:06 | DEBUG | 
23:05:06 | DEBUG | #5 [2/6] WORKDIR /opt/build
23:05:06 | DEBUG | #5 DONE 0.0s
23:05:06 | DEBUG | 
23:05:06 | DEBUG | #6 [3/6] RUN git clone "https://github.com/bassixs/StyleSync.git" -b main /opt/build
23:05:06 | DEBUG | #6 0.260 Cloning into '/opt/build'...
23:05:08 | DEBUG | #6 DONE 1.4s
23:05:08 | DEBUG | 
23:05:08 | DEBUG | #7 [4/6] RUN cd /opt/build
23:05:08 | DEBUG | #7 DONE 0.3s
23:05:08 | DEBUG | 
23:05:08 | DEBUG | #8 [5/6] RUN git remote rm origin
23:05:08 | DEBUG | #8 DONE 0.4s
23:05:08 | DEBUG | 
